,check,status,evidence
34,Inline filing/API agreement 2023 sbc,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
35,Inline filing/API agreement 2023 capex_ppe,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
36,Inline filing/API agreement 2023 cfo,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
37,Inline filing/API agreement 2023 cfi,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
38,Inline filing/API agreement 2023 cff,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
39,Inline filing/API agreement 2023 options_proceeds,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
40,Inline filing/API agreement 2023 withholding,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
41,Inline filing/API agreement 2023 cf_deferred_revenue_increase,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
42,Inline filing/API agreement 2023 cf_ar_increase,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
43,Inline filing/API agreement 2023 cf_ap_increase,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
44,Inline filing/API agreement 2023 cf_accrued_increase,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
45,Inline filing/API agreement 2023 diluted_shares,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
46,Inline filing/API agreement 2023 deferred_revenue,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
47,Inline filing/API agreement 2023 equity,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
48,Inline filing/API agreement 2024 revenue,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
49,Inline filing/API agreement 2024 cost_of_revenue,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
50,Inline filing/API agreement 2024 gross_profit,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
51,Inline filing/API agreement 2024 rd,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
52,Inline filing/API agreement 2024 sm,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
53,Inline filing/API agreement 2024 ga,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
54,Inline filing/API agreement 2024 opex,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
55,Inline filing/API agreement 2024 ebit,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
56,Inline filing/API agreement 2024 interest_income,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
57,Inline filing/API agreement 2024 pretax,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
58,Inline filing/API agreement 2024 tax,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
59,Inline filing/API agreement 2024 net_income,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
60,Inline filing/API agreement 2024 da,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
61,Inline filing/API agreement 2024 sbc,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
62,Inline filing/API agreement 2024 capex_ppe,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
63,Inline filing/API agreement 2024 cfo,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
64,Inline filing/API agreement 2024 cfi,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
65,Inline filing/API agreement 2024 cff,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
66,Inline filing/API agreement 2024 options_proceeds,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
67,Inline filing/API agreement 2024 withholding,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
68,Inline filing/API agreement 2024 investment_purchases,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
69,Inline filing/API agreement 2024 investment_maturities,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
70,Inline filing/API agreement 2024 cf_deferred_revenue_increase,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
71,Inline filing/API agreement 2024 cf_ar_increase,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
72,Inline filing/API agreement 2024 cf_ap_increase,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
73,Inline filing/API agreement 2024 cf_accrued_increase,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
74,Inline filing/API agreement 2024 diluted_shares,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
75,Inline filing/API agreement 2024 cash,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
76,Inline filing/API agreement 2024 short_investments,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
77,Inline filing/API agreement 2024 long_investments,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
78,Inline filing/API agreement 2024 ar,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
79,Inline filing/API agreement 2024 deferred_cost,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
80,Inline filing/API agreement 2024 prepaid,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
81,Inline filing/API agreement 2024 tax_receivable,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
82,Inline filing/API agreement 2024 ppe,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
83,Inline filing/API agreement 2024 intangibles,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
84,Inline filing/API agreement 2024 rou,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
85,Inline filing/API agreement 2024 goodwill,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
86,Inline filing/API agreement 2024 restricted_cash,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
87,Inline filing/API agreement 2024 dta,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
88,Inline filing/API agreement 2024 other_assets,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
89,Inline filing/API agreement 2024 assets,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
90,Inline filing/API agreement 2024 ap,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
91,Inline filing/API agreement 2024 accrued,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
92,Inline filing/API agreement 2024 deferred_revenue,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
93,Inline filing/API agreement 2024 tax_payable,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
94,Inline filing/API agreement 2024 lease_noncurrent,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
95,Inline filing/API agreement 2024 dtl,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
96,Inline filing/API agreement 2024 liabilities,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
97,Inline filing/API agreement 2024 equity,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
98,Inline filing/API agreement 2025 revenue,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
99,Inline filing/API agreement 2025 cost_of_revenue,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
100,Inline filing/API agreement 2025 gross_profit,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
101,Inline filing/API agreement 2025 rd,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
102,Inline filing/API agreement 2025 sm,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
103,Inline filing/API agreement 2025 ga,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
104,Inline filing/API agreement 2025 opex,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
105,Inline filing/API agreement 2025 ebit,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
106,Inline filing/API agreement 2025 interest_income,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
107,Inline filing/API agreement 2025 pretax,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
108,Inline filing/API agreement 2025 tax,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
109,Inline filing/API agreement 2025 net_income,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
110,Inline filing/API agreement 2025 da,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
111,Inline filing/API agreement 2025 sbc,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
112,Inline filing/API agreement 2025 capex_ppe,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
113,Inline filing/API agreement 2025 cfo,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
114,Inline filing/API agreement 2025 cfi,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
115,Inline filing/API agreement 2025 cff,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
116,Inline filing/API agreement 2025 options_proceeds,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
117,Inline filing/API agreement 2025 withholding,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
118,Inline filing/API agreement 2025 investment_purchases,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
119,Inline filing/API agreement 2025 investment_maturities,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
120,Inline filing/API agreement 2025 cf_deferred_revenue_increase,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
121,Inline filing/API agreement 2025 cf_ar_increase,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
122,Inline filing/API agreement 2025 cf_ap_increase,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
123,Inline filing/API agreement 2025 cf_accrued_increase,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
124,Inline filing/API agreement 2025 diluted_shares,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
125,Inline filing/API agreement 2025 cash,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
126,Inline filing/API agreement 2025 short_investments,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
127,Inline filing/API agreement 2025 long_investments,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
128,Inline filing/API agreement 2025 ar,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
129,Inline filing/API agreement 2025 deferred_cost,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
130,Inline filing/API agreement 2025 prepaid,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
131,Inline filing/API agreement 2025 tax_receivable,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
132,Inline filing/API agreement 2025 ppe,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
133,Inline filing/API agreement 2025 intangibles,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
134,Inline filing/API agreement 2025 rou,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
135,Inline filing/API agreement 2025 goodwill,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
136,Inline filing/API agreement 2025 restricted_cash,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
137,Inline filing/API agreement 2025 dta,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
138,Inline filing/API agreement 2025 other_assets,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
139,Inline filing/API agreement 2025 assets,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
140,Inline filing/API agreement 2025 ap,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
141,Inline filing/API agreement 2025 accrued,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
142,Inline filing/API agreement 2025 deferred_revenue,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
143,Inline filing/API agreement 2025 tax_payable,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
144,Inline filing/API agreement 2025 lease_noncurrent,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
145,Inline filing/API agreement 2025 dtl,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
146,Inline filing/API agreement 2025 liabilities,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
147,Inline filing/API agreement 2025 equity,PASS,Separately parsed original annual HTML vs SEC companyfacts; matched dates and non-dimensional context
148,Interim filing cross-check revenue,PASS,Q2 2026 10-Q and letter financial statements
149,Interim filing cross-check ebit,PASS,Q2 2026 10-Q and letter financial statements
150,Interim filing cross-check cash,PASS,Q2 2026 10-Q and letter financial statements
151,Interim filing cross-check assets,PASS,Q2 2026 10-Q and letter financial statements
152,Interim filing cross-check equity,PASS,Q2 2026 10-Q and letter financial statements
153,Interim filing cross-check cfo,PASS,Q2 2026 10-Q and letter financial statements
154,Interim filing cross-check capex,PASS,Q2 2026 10-Q and letter financial statements
155,Interim filing cross-check sbc,PASS,Q2 2026 10-Q and letter financial statements
156,Interim filing cross-check da,PASS,Q2 2026 10-Q and letter financial statements
157,Independent market close,PASS,Nasdaq close independently matches Yahoo149.42
158,Dates and units,PASS,Fiscal years; SEC USD / 1e6; shares / 1e6; rates decimal
159,Guidance revenue,PASS,"Q2 letter $1,207m FY2026 guidance"
160,Guidance gross margin,PASS,Q2 letter 71.6%
161,Guidance SBC,PASS,Q2 letter approximately 15%
162,All scenarios executed,PASS,Each scenario reconstructs statements and invokes the same gated DCF
163,Reverse price residuals,PASS,Brent roots; invalid states excluded; no interpolated answer
164,Beta observations,PASS,Aug2021–Aug2026; DUOL IPO July2021; no fabricated prices
165,PV independent arithmetic,PASS,Independent vector calculation
166,Terminal independent arithmetic,PASS,Positive denominator and recomputed terminal cash flow
167,Bridge independent arithmetic,PASS,Cash + all investments less $100m reserve; zero traditional debt
168,Per share independent arithmetic,PASS,50.7m company estimated diluted shares
169,SBC economic expense,PASS,CFO adds SBC; FCFF does not. No annual dilution multiplier.
170,Partial year timing,PASS,Only remaining H2 enters DCF; ACT/365 end-year discounting
